IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.143.216.48,8443,0,true,SIN,Asia Pacific,Singapore,93,9.49
47.237.100.206,2095,0,false,SIN,Asia Pacific,Singapore,298,3.81
47.236.180.51,2086,2086,false,SIN,Asia Pacific,Singapore,308,3.79
47.236.174.206,2052,2052,false,SIN,Asia Pacific,Singapore,294,3.69
47.238.44.224,80,0,true,SIN,Asia Pacific,Singapore,45,3.55
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,89,3.44
47.76.254.36,80,0,true,SIN,Asia Pacific,Singapore,37,3.42
47.236.121.23,2052,0,false,SIN,Asia Pacific,Singapore,283,3.41
8.222.183.242,2083,0,true,SIN,Asia Pacific,Singapore,290,3.38
47.236.17.193,2086,2086,false,SIN,Asia Pacific,Singapore,292,3.08
47.237.95.140,8880,8880,false,SIN,Asia Pacific,Singapore,287,2.99
8.219.50.180,2086,0,false,SIN,Asia Pacific,Singapore,284,2.93
47.236.169.164,8880,0,false,SIN,Asia Pacific,Singapore,289,2.88
47.236.146.249,80,80,false,SIN,Asia Pacific,Singapore,285,2.87
47.236.17.193,8080,0,false,SIN,Asia Pacific,Singapore,288,2.78
8.222.244.192,2095,0,false,SIN,Asia Pacific,Singapore,285,2.75
47.236.172.71,8080,8080,false,SIN,Asia Pacific,Singapore,298,2.72
47.237.83.20,2052,2052,false,SIN,Asia Pacific,Singapore,281,2.57
47.236.180.24,2086,2086,false,SIN,Asia Pacific,Singapore,314,2.46
47.236.172.71,2082,2082,false,SIN,Asia Pacific,Singapore,405,2.43
8.219.49.65,80,80,false,SIN,Asia Pacific,Singapore,303,2.38
47.236.168.17,8080,8080,false,SIN,Asia Pacific,Singapore,292,2.28
47.236.171.205,2052,2052,false,SIN,Asia Pacific,Singapore,293,2.19
47.236.169.141,8880,8880,false,SIN,Asia Pacific,Singapore,296,2.16
8.219.200.145,2095,2095,false,SIN,Asia Pacific,Singapore,284,2.15
8.212.41.98,80,0,false,SIN,Asia Pacific,Singapore,53,2.14
47.236.75.113,2095,2095,false,SIN,Asia Pacific,Singapore,405,2.13
8.219.198.139,2083,0,true,SIN,Asia Pacific,Singapore,355,2.10
8.219.87.30,2082,2082,false,SIN,Asia Pacific,Singapore,391,2.07
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,292,2.06
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,403,2.05
47.237.0.31,80,0,false,SIN,Asia Pacific,Singapore,308,2.04
8.222.244.192,2052,2052,false,SIN,Asia Pacific,Singapore,281,2.04
47.236.102.102,80,80,false,SIN,Asia Pacific,Singapore,293,2.03
47.236.253.41,2052,0,false,SIN,Asia Pacific,Singapore,284,2.03
47.236.237.90,2053,0,true,SIN,Asia Pacific,Singapore,320,2.03
8.219.191.40,2083,0,true,SIN,Asia Pacific,Singapore,354,2.02
47.236.121.23,8080,8080,false,SIN,Asia Pacific,Singapore,405,2.02
47.236.180.24,8443,0,true,SIN,Asia Pacific,Singapore,289,2.02
8.222.179.231,2086,2086,false,SIN,Asia Pacific,Singapore,292,2.01
47.236.146.249,2086,2086,false,SIN,Asia Pacific,Singapore,291,2.00
8.222.193.65,8880,8880,false,SIN,Asia Pacific,Singapore,285,1.97
8.219.50.180,80,80,false,SIN,Asia Pacific,Singapore,297,1.96
47.237.83.20,8080,8080,false,SIN,Asia Pacific,Singapore,405,1.96
8.219.60.54,2095,2095,false,SIN,Asia Pacific,Singapore,359,1.94
47.236.169.141,2086,0,false,SIN,Asia Pacific,Singapore,282,1.94
47.236.145.85,2095,0,false,SIN,Asia Pacific,Singapore,290,1.94
47.237.95.156,8080,8080,false,SIN,Asia Pacific,Singapore,284,1.93
47.236.123.133,2052,2052,false,SIN,Asia Pacific,Singapore,285,1.93
47.236.150.13,80,0,false,SIN,Asia Pacific,Singapore,276,1.92
47.237.0.31,8880,0,false,SIN,Asia Pacific,Singapore,308,1.91
47.236.80.110,2095,2095,false,SIN,Asia Pacific,Singapore,290,1.91
47.236.144.196,2086,2086,false,SIN,Asia Pacific,Singapore,361,1.87
47.236.169.141,2082,2082,false,SIN,Asia Pacific,Singapore,361,1.87
47.237.0.31,2096,0,true,SIN,Asia Pacific,Singapore,353,1.86
47.236.150.13,2086,0,false,SIN,Asia Pacific,Singapore,324,1.85
8.219.200.145,8880,0,false,SIN,Asia Pacific,Singapore,295,1.85
8.219.191.40,8080,8080,false,SIN,Asia Pacific,Singapore,405,1.84
47.237.11.182,8880,0,false,SIN,Asia Pacific,Singapore,281,1.83
47.237.86.185,2086,2086,false,SIN,Asia Pacific,Singapore,352,1.83
13.250.131.37,443,0,true,SIN,Asia Pacific,Singapore,88,1.83
47.236.97.90,80,80,false,SIN,Asia Pacific,Singapore,358,1.82
47.236.189.92,2052,2052,false,SIN,Asia Pacific,Singapore,318,1.82
47.245.105.224,2086,2086,false,SIN,Asia Pacific,Singapore,320,1.82
47.237.95.156,2052,2052,false,SIN,Asia Pacific,Singapore,285,1.80
47.236.117.48,80,0,false,SIN,Asia Pacific,Singapore,287,1.80
47.236.164.215,2082,2082,false,SIN,Asia Pacific,Singapore,315,1.80
47.236.10.182,80,80,false,SIN,Asia Pacific,Singapore,404,1.80
47.236.171.205,2086,2086,false,SIN,Asia Pacific,Singapore,295,1.80
8.219.132.64,2086,2086,false,SIN,Asia Pacific,Singapore,353,1.80
47.237.11.182,2053,0,true,SIN,Asia Pacific,Singapore,361,1.80
8.219.60.54,8880,8880,false,SIN,Asia Pacific,Singapore,285,1.80
8.222.156.242,8880,8880,false,SIN,Asia Pacific,Singapore,303,1.79
47.236.169.164,8080,8080,false,SIN,Asia Pacific,Singapore,361,1.79
